,timestamp,open,high,low,close,volume,likes,retweets,emotion,emoji
2018-01-06 13:00:00,1515243600,16307.33,16404.75,16220.0,16281.62,653.67729629,0.9204545454545454,0.32386363636363635,1.1875,3.465909090909091
2018-01-06 14:00:00,1515247200,16281.29,16544.98,16247.99,16477.88,318.07752484,1.150259067357513,0.33678756476683935,1.2072538860103628,3.321243523316062
2018-01-06 15:00:00,1515250800,16450.98,16645.95,16447.99,16592.53,295.43139047,2.740566037735849,1.5235849056603774,1.3679245283018868,3.3349056603773586
2018-01-06 16:00:00,1515254400,16592.53,16939.44,16520.0,16853.99,417.99723181,1.4018691588785046,3.7663551401869158,1.2897196261682242,3.5514018691588785
2018-01-06 17:00:00,1515258000,16853.99,16904.97,16720.0,16838.53,223.68484599,2.4691943127962084,0.7393364928909952,1.2464454976303319,3.4549763033175354
2018-01-06 18:00:00,1515261600,16858.17,16984.0,16680.0,16772.83,276.73079323,2.073394495412844,0.8394495412844036,1.3211009174311927,3.4128440366972477
2018-01-06 19:00:00,1515265200,16759.01,16799.99,16650.0,16661.2,166.79076301,2.9901477832512313,1.9852216748768472,1.1330049261083743,3.4679802955665027
2018-01-06 20:00:00,1515268800,16710.5,16911.9,16645.95,16840.12,301.57074904,1.608695652173913,0.47342995169082125,1.1256038647342994,3.1594202898550723
2018-01-06 21:00:00,1515272400,16849.17,16864.52,16751.16,16843.0,292.63706736,9.681818181818182,1.5656565656565657,1.292929292929293,3.1666666666666665
2018-01-06 22:00:00,1515276000,16864.52,17234.99,16843.0,17060.77,678.91501614,7.241758241758242,3.269230769230769,1.2857142857142858,3.1923076923076925
2018-01-06 23:00:00,1515279600,17071.71,17198.97,17026.64,17149.67,172.2376212,1.4444444444444444,0.42857142857142855,1.0634920634920635,3.322751322751323
2018-01-07 00:00:00,1515283200,17142.43,17149.97,16950.0,17019.44,265.34983467,1.3681318681318682,0.2967032967032967,1.2362637362637363,3.489010989010989
2018-01-07 01:00:00,1515286800,17019.44,17049.32,16880.01,17027.75,248.21430605,2.7222222222222223,0.75,1.3277777777777777,2.988888888888889
2018-01-07 02:00:00,1515290400,17019.01,17032.54,16790.0,16799.99,212.04519997,2.9044585987261144,1.5414012738853504,1.2547770700636942,3.700636942675159
2018-01-07 03:00:00,1515294000,16799.98,16843.05,16667.0,16731.61,252.50778153,2.308219178082192,0.8835616438356164,1.1643835616438356,3.2465753424657535
2018-01-07 04:00:00,1515297600,16716.3,16797.79,16579.03,16634.51,240.7758822,1.837837837837838,0.5202702702702703,1.0675675675675675,3.2364864864864864
2018-01-07 05:00:00,1515301200,16634.51,16882.81,16580.83,16649.4,324.2989613,1.68944099378882,0.4968944099378882,1.3043478260869565,3.1366459627329193
2018-01-07 06:00:00,1515304800,16644.0,16672.0,16400.0,16425.01,279.37539485,1.589928057553957,1.1726618705035972,1.2302158273381294,3.273381294964029
2018-01-07 07:00:00,1515308400,16425.01,16761.26,16425.0,16738.99,239.08746243,0.6560509554140127,0.2229299363057325,1.1401273885350318,3.159235668789809
2018-01-07 08:00:00,1515312000,16738.99,16855.06,16730.0,16749.3,236.91321201,0.48325358851674644,0.18181818181818182,1.2344497607655502,3.645933014354067
2018-01-07 09:00:00,1515315600,16749.3,16805.82,16629.76,16640.0,220.16140277,1.49645390070922,0.7801418439716312,1.2056737588652482,3.4893617021276597
2018-01-07 10:00:00,1515319200,16640.0,16818.05,16626.83,16787.44,130.67863611,1.2465753424657535,0.678082191780822,1.3835616438356164,3.691780821917808
2018-01-07 11:00:00,1515322800,16785.1,16802.6,16644.86,16660.13,226.11619518,1.7160493827160495,1.2160493827160495,1.0123456790123457,3.1296296296296298
2018-01-07 12:00:00,1515326400,16660.0,16697.1,16416.56,16416.56,496.0336799,0.7314285714285714,0.3028571428571429,1.2285714285714286,3.662857142857143
2018-01-07 13:00:00,1515330000,16416.56,16516.8,16311.0,16409.05,590.35112525,1.1593406593406594,0.7252747252747253,1.401098901098901,3.3076923076923075
2018-01-07 14:00:00,1515333600,16400.06,16600.0,16365.57,16511.76,275.31143589,1.9861751152073732,0.4470046082949309,1.119815668202765,3.47926267281106
2018-01-07 15:00:00,1515337200,16511.77,16559.68,16383.41,16443.0,292.76806653,2.1120689655172415,0.853448275862069,1.1508620689655173,3.6206896551724137
2018-01-07 16:00:00,1515340800,16427.63,16470.9,16074.12,16100.0,1037.3385625,5.482300884955753,3.1327433628318584,1.3053097345132743,3.3053097345132745
2018-01-07 17:00:00,1515344400,16076.43,16200.0,15707.16,15850.01,826.50069921,6.625514403292181,2.403292181069959,1.213991769547325,3.477366255144033
2018-01-07 18:00:00,1515348000,15850.01,16114.29,15717.27,16093.08,708.50701173,2.8140495867768593,0.8553719008264463,1.2768595041322315,3.2107438016528924
2018-01-07 19:00:00,1515351600,16097.51,16194.98,16050.07,16111.0,293.80020421,1.9508928571428572,1.0,1.2366071428571428,3.1205357142857144
2018-01-07 20:00:00,1515355200,16111.0,16190.0,15987.22,16190.0,244.74307341,3.835680751173709,0.6291079812206573,1.2582159624413145,3.4413145539906105
2018-01-07 21:00:00,1515358800,16190.01,16335.58,16139.94,16174.83,260.95266167,0.9174311926605505,0.23394495412844038,1.298165137614679,3.3394495412844036
2018-01-07 22:00:00,1515362400,16174.98,16521.66,16148.06,16449.87,355.1102621,3.22,0.705,1.125,3.155
2018-01-07 23:00:00,1515366000,16439.43,16449.99,16114.3,16124.02,375.8727919,2.3471502590673574,0.5077720207253886,1.233160621761658,3.523316062176166
2018-01-08 00:00:00,1515369600,16173.98,16300.0,15954.16,15956.66,494.1375067,1.4648648648648648,0.5297297297297298,1.318918918918919,3.145945945945946
2018-01-08 01:00:00,1515373200,15961.98,16034.22,15716.93,15895.0,467.6621569,1.5748502994011977,0.3712574850299401,1.3652694610778444,3.18562874251497
2018-01-08 02:00:00,1515376800,15895.0,16080.0,15778.76,15969.99,434.85605992,1.2916666666666667,0.4880952380952381,1.0952380952380953,3.511904761904762
2018-01-08 03:00:00,1515380400,15969.99,15970.0,15544.99,15654.83,711.95967114,1.5084745762711864,0.3163841807909605,1.3672316384180792,2.9604519774011298
2018-01-08 04:00:00,1515384000,15605.3,15826.68,15553.42,15699.77,279.3622996,1.503030303030303,0.49696969696969695,1.2121212121212122,3.4
2018-01-08 05:00:00,1515387600,15690.69,15994.05,15534.11,15895.21,422.17595909,1.2515337423312884,0.37423312883435583,1.3312883435582823,3.061349693251534
2018-01-08 06:00:00,1515391200,15910.16,15974.9,15751.64,15809.99,243.27734316,1.6900584795321638,0.5964912280701754,1.2222222222222223,3.4210526315789473
